Date,Open,High,Low,Close,Adj Close,Volume
2020-12-29,2.340000,2.489000,2.282000,2.467000,2.467000,143530
2020-12-30,2.444000,2.473000,2.387000,2.422000,2.422000,81788
2020-12-31,2.433000,2.547000,2.429000,2.539000,2.539000,81788
2021-01-03,null,null,null,null,null,null
2021-01-04,2.626000,2.670000,2.566000,2.581000,2.581000,128377
2021-01-05,2.599000,2.732000,2.591000,2.702000,2.702000,149828
2021-01-06,2.688000,2.770000,2.606000,2.716000,2.716000,144690
2021-01-07,2.722000,2.755000,2.663000,2.729000,2.729000,135480
2021-01-08,2.675000,2.730000,2.626000,2.700000,2.700000,148730
2021-01-10,null,null,null,null,null,null
2021-01-11,2.600000,2.811000,2.589000,2.747000,2.747000,177248
2021-01-12,2.794000,2.899000,2.718000,2.753000,2.753000,201432
2021-01-13,2.737000,2.826000,2.708000,2.727000,2.727000,169240
2021-01-14,2.742000,2.791000,2.660000,2.666000,2.666000,163043
2021-01-15,2.672000,2.800000,2.636000,2.737000,2.737000,163043
2021-01-17,null,null,null,null,null,null
2021-01-19,2.652000,2.673000,2.523000,2.546000,2.546000,211313
2021-01-20,2.544000,2.567000,2.454000,2.539000,2.539000,133437
2021-01-21,2.532000,2.551000,2.458000,2.491000,2.491000,100319
2021-01-22,2.492000,2.504000,2.414000,2.446000,2.446000,100319
2021-01-24,null,null,null,null,null,null
2021-01-25,2.542000,2.619000,2.504000,2.602000,2.602000,42988
2021-01-26,2.603000,2.686000,2.595000,2.656000,2.656000,32233
2021-01-27,2.650000,2.773000,2.650000,2.760000,2.760000,153190
2021-01-28,2.675000,2.701000,2.591000,2.664000,2.664000,159820
2021-01-29,2.680000,2.710000,2.554000,2.564000,2.564000,159820
2021-01-31,null,null,null,null,null,null
2021-02-01,2.730000,2.868000,2.712000,2.850000,2.850000,243658
2021-02-02,2.829000,3.005000,2.811000,2.845000,2.845000,236392
2021-02-03,2.827000,2.894000,2.748000,2.789000,2.789000,158484
2021-02-04,2.776000,2.977000,2.734000,2.935000,2.935000,186926
2021-02-05,2.957000,3.057000,2.851000,2.863000,2.863000,186926
2021-02-07,null,null,null,null,null,null
2021-02-08,2.909000,2.985000,2.844000,2.882000,2.882000,194660
2021-02-09,2.883000,2.927000,2.788000,2.835000,2.835000,196927
2021-02-10,2.819000,2.982000,2.741000,2.911000,2.911000,266986
2021-02-11,2.975000,3.045000,2.839000,2.868000,2.868000,261922
2021-02-12,2.870000,2.987000,2.834000,2.912000,2.912000,261922
2021-02-14,3.046000,3.051000,3.007000,3.049000,3.049000,13870
